condition,rmseResult,experimentLabel
sample.id:Br2720_mid,1.88e-01,cohort1_k2
sample.id:Br6471_mid,2.48e-01,cohort1_k2
sample.id:Br8492_post,2.38e-01,cohort1_k2
sample.id:Br2743_ant,2.77e-01,cohort1_k2
sample.id:Br8492_mid,1.89e-01,cohort1_k2
sample.id:Br3942_ant,1.58e-01,cohort1_k2
sample.id:Br6423_post,2.78e-01,cohort1_k2
sample.id:Br6423_ant,2.70e-01,cohort1_k2
sample.id:Br3942_mid,1.31e-01,cohort1_k2
sample.id:Br8325_ant,1.30e-01,cohort1_k2
sample.id:Br8325_mid,2.17e-01,cohort1_k2
sample.id:Br2743_mid,1.37e-01,cohort1_k2
sample.id:Br6432_ant,2.11e-01,cohort1_k2
sample.id:Br6522_mid,2.09e-01,cohort1_k2
sample.id:Br6522_post,1.92e-01,cohort1_k2
sample.id:Br8667_mid,2.92e-01,cohort1_k2
sample.id:Br8667_ant,2.92e-01,cohort1_k2
condition.id:noscale,9.15e-01,cohort1_k2
condition.id:withscale,5.54e-16,cohort1_k2
replicate.id:rep1,9.15e-01,cohort1_k2
replicate.id:rep1;condition.id:noscale,9.15e-01,cohort1_k2
replicate.id:rep1;condition.id:withscale,5.54e-16,cohort1_k2
sample.id:donor6,2.81e-01,cohort2_k2
sample.id:donor1,2.39e-01,cohort2_k2
sample.id:donor2,2.68e-01,cohort2_k2
condition.id:noscale,4.56e-01,cohort2_k2
condition.id:withscale,1.52e-16,cohort2_k2
replicate.id:rep1,4.56e-01,cohort2_k2
replicate.id:rep1;condition.id:noscale,4.56e-01,cohort2_k2
replicate.id:rep1;condition.id:withscale,1.52e-16,cohort2_k2
sample.id:Br2743_ant,2.66e-02,cohort1_shuffle
sample.id:Br3942_mid,4.97e-02,cohort1_shuffle
sample.id:Br6423_ant,8.84e-02,cohort1_shuffle
sample.id:Br6423_post,9.21e-02,cohort1_shuffle
sample.id:Br6471_mid,6.96e-02,cohort1_shuffle
sample.id:Br8325_ant,3.30e-02,cohort1_shuffle
sample.id:Br8325_mid,2.55e-02,cohort1_shuffle
sample.id:Br8492_post,3.24e-02,cohort1_shuffle
sample.id:Br3942_ant,1.81e-02,cohort1_shuffle
sample.id:Br8492_mid,2.42e-02,cohort1_shuffle
condition.id:noscale,1.45e-01,cohort1_shuffle
condition.id:withscale,8.35e-02,cohort1_shuffle
replicate.id:rep1,1.67e-01,cohort1_shuffle
replicate.id:rep1;condition.id:noscale,1.45e-01,cohort1_shuffle
replicate.id:rep1;condition.id:withscale,8.35e-02,cohort1_shuffle
sample.id:Br2720_mid,1.42e-01,cohort1_k3
sample.id:Br6471_mid,1.83e-01,cohort1_k3
sample.id:Br8492_post,1.79e-01,cohort1_k3
sample.id:Br8492_mid,1.43e-01,cohort1_k3
sample.id:Br3942_ant,1.20e-01,cohort1_k3
sample.id:Br6423_post,2.11e-01,cohort1_k3
sample.id:Br6423_ant,2.10e-01,cohort1_k3
sample.id:Br3942_mid,1.02e-01,cohort1_k3
sample.id:Br8325_ant,9.64e-02,cohort1_k3
