"condition","rmseResult","experimentLabel","cohort","k","numCellTypes","cellTypes"
"sample.id:Br2720_mid","1.88e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6471_mid","2.48e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8492_post","2.38e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br2743_ant","2.77e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8492_mid","1.89e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br3942_ant","1.58e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6423_post","2.78e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6423_ant","2.70e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br3942_mid","1.31e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8325_ant","1.30e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8325_mid","2.17e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br2743_mid","1.37e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6432_ant","2.11e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6522_mid","2.09e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br6522_post","1.92e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8667_mid","2.92e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"sample.id:Br8667_ant","2.92e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"condition.id:noscale","3.14e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"condition.id:withscale","1.90e-16","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"replicate.id:rep1","2.22e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"replicate.id:rep1;condition.id:noscale","3.14e-01","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
"replicate.id:rep1;condition.id:withscale","1.90e-16","huuki-meyers-et-al-2023_dlpfc-cohort1_k2","Huuki-Myers et al 2023","2","2","neuron;glial"
