"iterations_index","sample_id","celltype_variable","assay_name","sce_filepath","bulk_filepath","list_index_filepath","true_proportions_filepath","method"
1,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
2,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
3,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
4,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
5,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
6,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
7,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
8,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
9,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
10,"Br3942_ant","k2","counts_adj","""$launchDir/data/sce_intra-sample_ro1-dlpfc.rda""","$launchDir/data/ypb_inter-sample_ro1-dlpfc.rda","$launchDir/data/lindex_intra-sample_ro1-dlpfc.rda","$launchDir/data/true-proportions_inter-sample_ro1-dlpfc.rda","nnls"
